id,type,parent_id,title,priority,status,sprint,owner,estimate,dependencies,acceptance_ref,source_doc,updated_at
E01,Epic,,账号与跨端基础,P0,Done,S1-S3,unassigned,34,,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E02,Epic,,诊断与动态学习计划,P0,Done,S1-S5,unassigned,27,E01,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E03,Epic,,听力训练闭环,P0,Done,S3-S7,unassigned,18,E01;E02,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E04,Epic,,口语实时对练教练,P0,Done,S3-S8,unassigned,29,E01;E02,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E05,Epic,,阅读训练闭环,P0,Done,S4-S8,unassigned,18,E01;E02,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E06,Epic,,写作批改闭环,P0,Done,S5-S9,unassigned,23,E01;E02;E04,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E07,Epic,,模考与复盘报告,P0,Done,S6-S10,unassigned,21,E03;E04;E05;E06,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E08,Epic,,订阅与权益系统,P0,Done,S6-S10,unassigned,26,E01,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E09,Epic,,数据埋点与可观测性,P0,Done,S4-S11,unassigned,29,E01;E02;E03;E04;E05;E06;E07;E08,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
E10,Epic,,跨平台质量与发布,P0,Done,S8-S12,unassigned,26,E01;E02;E03;E04;E05;E06;E07;E08;E09;E11,Epic 完成标准,Epic-Map,2026-03-12T01:23:01Z
E11,Epic,,后台管理系统,P0,Done,S5-S12,unassigned,26,E01;E08;E09,Epic 完成标准,Epic-Map,2026-03-07T02:20:00Z
US-1101,Story,E01,作为新用户我可以在四端完成注册和登录。,P0,Done,S1,codex,5,,见 Story 验收标准,Story-Catalog-P0,2026-02-26T14:47:10Z
US-1102,Story,E01,作为登录用户我的会话在多端可持续且安全。,P0,Done,S1,codex,5,US-1101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T14:47:10Z
US-1103,Story,E01,作为学习用户我在设备切换后学习进度保持一致。,P0,Done,S2,codex,8,US-1102,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:08:51Z
US-1104,Story,E01,作为用户我可以申请账号注销并删除数据。,P0,Done,S2,codex,5,US-1101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:08:51Z
US-2101,Story,E02,作为考生我可在入门流程设置目标分和考试日期。,P0,Done,S1,codex,3,US-1101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T14:47:10Z
TK-1101-01,Task,US-1101,定义注册登录接口契约与字段校验规则。,P0,Done,S1,codex,1,,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:03Z
TK-1101-02,Task,US-1101,实现注册与登录接口并落地用户身份数据。,P0,Done,S1,codex,2,TK-1101-01,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:03Z
TK-1101-03,Task,US-1101,实现客户端注册登录页与表单校验逻辑。,P0,Done,S1,codex,2,TK-1101-01,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:03Z
TK-1101-04,Task,US-1101,实现登录成功后的令牌存储与首页跳转。,P0,Done,S1,codex,1,TK-1101-02;TK-1101-03,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:03Z
TK-1101-05,Task,US-1101,补充注册登录正反向测试用例并回归。,P0,Done,S1,codex,1,TK-1101-02;TK-1101-03;TK-1101-04,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-1102-01,Task,US-1102,实现刷新令牌与登出接口。,P0,Done,S1,codex,1,TK-1101-02,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-1102-02,Task,US-1102,实现刷新令牌轮换与失效黑名单机制。,P0,Done,S1,codex,2,TK-1102-01,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-1102-03,Task,US-1102,实现客户端自动刷新与失败重试拦截器。,P0,Done,S1,codex,2,TK-1102-01;TK-1102-02,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-1102-04,Task,US-1102,实现会话审计日志与异常登录事件记录。,P0,Done,S1,codex,1,TK-1102-02,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-1102-05,Task,US-1102,补充会话过期与多设备场景测试。,P0,Done,S1,codex,1,TK-1102-03;TK-1102-04,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-2101-01,Task,US-2101,实现入门目标设置页面与本地字段校验。,P0,Done,S1,codex,1,TK-1101-04,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-2101-02,Task,US-2101,实现目标设置提交接口与幂等键支持。,P0,Done,S1,codex,2,TK-1101-02,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-2101-03,Task,US-2101,实现诊断任务异步触发与状态返回。,P0,Done,S1,codex,2,TK-2101-02,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
TK-2101-04,Task,US-2101,打通客户端提交后状态展示与错误重试。,P0,Done,S1,codex,1,TK-2101-01;TK-2101-03,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
