risk_id,title,severity,likelihood,owner,status,mitigation,related_ids,updated_at
R-001,AI评分波动影响用户信任,High,Medium,ml-quality,Mitigating,建立离线评测基线并按周回归；保留模型回退链路与抽样复核,US-4103;US-6101;US-9102,2026-03-02
R-002,多端语音能力差异导致口语会话不稳定,High,Medium,client-platform,Mitigating,完成多端弱网与重连测试并保留降级路径；持续补充真机回归,US-4101;US-4102,2026-03-02
R-003,支付与权益同步错误导致投诉,High,Low,payments,Mitigating,支付回调幂等+对账任务+跨端一致性回归已落地；现已补 `PAYMENT_*` runtime config、webhook HMAC 验签、时间窗 replay guard 与 `/v1/system/payments/runtime` 摘要，并冻结首发支付渠道为 `Stripe + Alipay`、退款 handling=`manual_review`；下一步仍需完成真实回调地址、secret manager 与 finance/legal signoff,US-8102;US-8103,2026-03-14
R-004,模考报告生成超时影响核心闭环,Medium,Medium,assessment-backend,Monitoring,保持异步生成与超时告警；按周跟踪报告生成 P95,US-7102,2026-03-02
R-005,发布前P0缺陷未收敛,High,Medium,qa-release,Mitigated,建立发布门禁并执行灰度回滚演练；P0 Story 已全部 Done 且回归通过,US-10101;US-10102,2026-03-02
R-006,后台越权或误操作导致用户权益异常,High,Medium,admin-platform,Mitigated,RBAC最小权限+高风险操作双人复核+报表导出下载审计+批量导入审核回滚链路均已上线,US-11101;US-11103;US-11104;US-11201;US-11202;US-11203,2026-03-02
R-007,跟踪台账与发布结果不同步导致值班误判,Medium,Medium,qa-release,Mitigated,新增 tracking-governance 校验脚本并接入 release checklist 与 quality-gate 产物归档；已补 `rc:package:from-gate`、本地日期一致的 `release-record-candidate`、`REL-069` 与 S31 runbook/metrics/retro 同步闭环,US-10402;US-10403;US-10406;US-11132;US-11139;US-11142;US-11147;US-11159;US-11160,2026-03-12
R-008,多仓储 Postgres 组合与回退顺序误配导致恢复验证失真,Medium,Medium,qa-release,Mitigated,已在 runbook 补齐显式 backend 建议、连接串继承说明与逐层回退顺序；`smoke:postgres:e2e-local` 已覆盖 practice/speaking/writing/mock/content recovery，`REL-068` 已记录最终 strict checklist 结果,US-11150;US-11151;US-11152;US-11153;US-11154;US-11155;US-11156,2026-03-12
R-009,隐私/支付/AI 供应商说明与真实行为不一致导致 GA 合规阻断,High,Medium,product-legal,Mitigating,已补 `docs/engineering/Compliance-Launch-Checklist.md`、三份法务草案、`docs/engineering/Refund-Commitment-FAQ.md`，并完成 `AUTH_SECRET / AUTH_SECRET_FILE` 外置入口；本次进一步补齐 `PAYMENT_*` 与 `LLM_*` runtime config、支付 webhook 验签/重放防护、`/v1/system/payments/runtime` 与 provider `runtime_config`、`backup_recovery_evidence` manifest 脚本及 runbook 同步，并冻结首发支付渠道为 `Stripe + Alipay`、主 AI provider 为 `OpenAI`（fallback 默认关闭），补齐 `GET /v1/users/me/export` 与 `user_data_exported` 审计；同时新增 `docs/engineering/Provider-Secret-Signoff-Checklist.md`、`docs/legal/Deletion-Exceptions-SLA-Draft.md`、`docs/legal/Minor-Guardian-Notice-Draft.md` 与合规/版权模板；下一步仍需填实 callback/secret/DPA、删除例外保留期限、版权台账内容，并完成 product/legal/eng/ops/finance/security 联合签署,GA-08;GA-09;GA-11,2026-03-14
R-010,beta 结果不可量化或反馈入口不适配真实用户导致 GA 决策失真,High,Medium,growth-product,Mitigating,已补 `docs/engineering/Beta-Plan.md`、`docs/engineering/Beta-Feedback-Channel-Decision.md`、`docs/engineering/Beta-Cohort-Metrics-Extraction-Plan.md` 与 `docs/engineering/Client-Build-Artifact-Publish-Runbook.md`；外部 beta 路径已冻结为“外部表单 + 内部分诊”，并已补 `analytics persistence + beta cohort metrics/export + client build/artifact/publish` 代码能力；下一步仍需在 beta 环境启用持久化 analytics，并冻结宿主平台静态同步/回退流程,GA-11;GA-12;GA-15,2026-03-13
R-011,客服与内容运营职责混合且缺少后台处置能力导致 GA 支持闭环失真,Medium,Medium,ops-support,Mitigating,已补 `docs/engineering/Support-Content-Ops-SOP.md`、`docs/engineering/Support-OnCall-Ownership-Matrix.md`、`docs/engineering/Refund-Commitment-FAQ.md` 与 `docs/tracking/templates/support-case-intake-template.md`，明确当前值班分工、退款口径与异常受理入口；下一步需把实际人名值班表与仓库外排班同步,GA-13;GA-15,2026-03-13
