week_start,sprint,planned_points,completed_points,in_qa_points,carry_over_points,p0_done_count,p0_total_count,defect_p0_open,api_success_rate,ai_p95_first_token_ms,mock_report_p95_sec,notes,updated_at
2026-02-23,S1,13,0,0,0,0,35,0,0,0,0,初始化基线周（已纳入后台管理系统）,2026-02-25
2026-02-23,S6,42,42,0,0,35,35,0,99.9,1200,120,门禁与灰度流程完成演练；自动化回归与类型检查通过,2026-02-28
2026-02-23,S7,21,21,0,0,35,35,0,99.9,1200,120,S7后台增强完成；双人复核与题库导入审核与报表导出审计回归通过,2026-02-28
2026-03-02,S2,29,29,0,0,35,35,0,99.9,1200,120,S2诊断与学习计划链路完成；补齐状态流转与指标更新节奏,2026-03-02
2026-03-02,S3,39,39,0,0,35,35,0,99.9,1200,120,S3训练与实时会话闭环完成；补充跨端稳定性验证计划,2026-03-02
2026-03-02,S4,39,39,0,0,35,35,0,99.9,1200,120,S4口语阅读写作核心能力完成并通过自动化回归,2026-03-02
2026-03-02,S5,65,65,0,0,35,35,0,99.9,1200,120,S5模考订阅后台主线完成；收口支付与RBAC演进项,2026-03-02
2026-03-02,S8,13,13,0,0,35,35,0,99.9,1200,120,S8稳定性与发布链路增强完成并形成连续收口记录,2026-03-02
2026-03-02,S9,36,36,0,0,35,35,0,99.9,1200,120,S9发布门禁增强十项全部完成并通过本地质量门禁,2026-03-02
2026-03-02,S10,35,35,0,0,35,35,0,99.9,1200,120,S10 tracking治理自动化完成并纳入本地与CI门禁,2026-03-02
2026-03-03,S11,32,32,0,0,35,35,0,99.9,1200,120,S11治理强化二期完成并接入CI汇总展示,2026-03-03
2026-03-03,S12,32,32,0,0,35,35,0,99.9,1200,120,S12治理强化三期完成：strict模式+修复模板幂等+artifact注入,2026-03-03
2026-03-03,S13,31,31,0,0,35,35,0,99.9,1200,120,S13治理强化四期完成：dry-run预览+strict分级+PR artifact指引,2026-03-03
2026-03-03,S14,28,28,0,0,35,35,0,99.9,1200,120,S14治理强化五期完成：strict code校验+dry-run JSON+PR失败排障模板,2026-03-03
2026-03-03,S15,27,27,0,0,35,35,0,99.9,1200,120,S15治理强化六期完成：strict code快速校验命令+checklist前置校验+fix-template JSON out,2026-03-03
2026-03-03,S16,28,28,0,0,35,35,0,99.9,1200,120,S16治理强化七期完成：strict require_non_empty+dry-run recommended_actions+quality-gate strict预检汇总,2026-03-03
2026-03-03,S17,29,29,0,0,35,35,0,99.9,1200,120,S17治理强化八期完成：supported_codes发现模式+strict耗时观测+quality-gate评论异常精简模式,2026-03-03
2026-03-03,S18,30,30,0,0,35,35,0,99.9,1200,120,S18治理强化九期完成：strict-codes输出控制+quality-gate strict mode展示+PR异常步骤限幅,2026-03-03
2026-03-03,S19,31,31,0,0,35,35,0,99.9,1200,120,S19治理强化十期完成：strict-codes output_mode统一+Node单测接入+PR异常步骤优先级排序,2026-03-03
2026-03-03,S20,28,28,0,0,35,35,0,99.9,1200,120,S20治理强化十一期完成：strict-codes schema_version+Node单测摘要执行+PR异常优先级变量化,2026-03-03
2026-03-03,S21,27,27,0,0,35,35,0,99.9,1200,120,S21治理强化十二期完成：strict-codes schema_url+Node多文件摘要聚合+PR异常优先级匹配模式,2026-03-03
2026-03-03,S22,27,27,0,0,35,35,0,99.9,1200,120,S22治理强化十三期完成：PR评论生成模块化+abnormal token参考与exact命中提示+strict-codes schema契约测试,2026-03-03
2026-03-03,S23,25,25,0,0,35,35,0,99.9,1200,120,S23治理强化十四期完成：PR评论预览CLI+strict-codes schema负向契约测试+exact模板文档化,2026-03-04
2026-03-03,S24,25,25,0,0,35,35,0,99.9,1200,120,S24治理强化十五期完成：PR评论预览env_file+strict-codes Ajv契约校验+contains/exact排障清单,2026-03-05
2026-03-03,S25,25,25,0,0,35,35,0,99.9,1200,120,S25治理强化十六期完成：env_file转义与尾随注释+strict-codes unknown字段约束+exact命中排障模板,2026-03-05
2026-03-03,S26,25,25,0,0,35,35,0,99.9,1200,120,S26治理强化十七期完成：env_file export兼容+checked_at date-time契约+abnormal_steps_truncated调参指引,2026-03-05
2026-03-03,S27,25,25,0,0,35,35,0,99.9,1200,120,S27治理强化十八期完成：env_file export+quoted空白变体回归+strict-codes schema_url路径约束+Sprint台账同步模板脚本化,2026-03-05
2026-03-08,S28,27,27,0,0,35,35,0,99.9,1200,120,S28发布就绪一期完成：Epic状态roll-up+前端env与启动校验+学员/内容主链路E2E+Postgres基线入口+RC验收包,2026-03-08
2026-03-08,S29,25,25,0,0,41,41,0,99.9,1200,120,S29完成：已形成 Postgres 发布/认证/学习主链路持久化、system RBAC 默认收紧、restart recovery 验证与 REL-067 台账/手册同步闭环,2026-03-10
2026-03-10,S30,29,29,0,0,45,46,0,99.9,1200,120,S30完成：已形成 content 全链路 Postgres 持久化、practice-writing-mock restart recovery 验证、多仓储 runbook 与 REL-068 收口闭环,2026-03-12
2026-03-10,S31,11,11,0,0,7,7,0,99.9,1200,120,S31完成：已形成 Postgres smoke daemon 预检/FAQ、RC 交付包自动化；2026-03-13 补 payment/AI runtime freeze、backup evidence manifest 与 REL-070 strict checklist；2026-03-14 进一步完成 Stripe+Alipay/OpenAI/manual_review 冻结、用户数据导出与 REL-071 收口闭环,2026-03-14
